Address,Block,Lot,BBL,Built FAR,Max FAR,Unbuilt FAR
1401 HANCOCK STREET,3393,29,3033930029,2.32,2.43,0.11
1403 HANCOCK STREET,3393,28,3033930028,1.65,2.43,0.78
1405 HANCOCK STREET,3393,7501,3033937501,2.31,2.43,0.12
1409 HANCOCK STREET,3393,26,3033930026,1.65,2.43,0.78
1411 HANCOCK STREET,3393,25,3033930025,1.65,2.43,0.78
1413 HANCOCK STREET,3393,24,3033930024,2.96,2.43,0.0
1415 HANCOCK STREET,3393,23,3033930023,1.65,2.43,0.78
1417 HANCOCK STREET,3393,122,3033930122,1.65,2.43,0.78
1419 HANCOCK STREET,3393,22,3033930022,1.65,2.43,0.78
1421 HANCOCK STREET,3393,7502,3033937502,2.22,2.43,0.21
1423 HANCOCK STREET,3393,70,3033930070,1.65,2.43,0.78
1425 HANCOCK STREET,3393,69,3033930069,1.65,2.43,0.78
1427 HANCOCK STREET,3393,68,3033930068,1.65,2.43,0.78
1429 HANCOCK STREET,3393,67,3033930067,1.65,2.43,0.78
1431 HANCOCK STREET,3393,66,3033930066,1.65,2.43,0.78
1433 HANCOCK STREET,3393,65,3033930065,1.65,2.43,0.78
1435 HANCOCK STREET,3393,64,3033930064,1.65,2.43,0.78
1443 HANCOCK STREET,3393,59,3033930059,0.84,0.0,0.0
1445 HANCOCK STREET,3393,58,3033930058,0.84,0.0,0.0
1447 HANCOCK STREET,3393,57,3033930057,0.84,0.0,0.0
1449 HANCOCK STREET,3393,56,3033930056,0.83,0.0,0.0
1464 JEFFERSON AVENUE,3393,11,3033930011,1.65,2.43,0.78
1466 JEFFERSON AVENUE,3393,12,3033930012,1.65,2.43,0.78
1468 JEFFERSON AVENUE,3393,13,3033930013,1.65,2.43,0.78
1470 JEFFERSON AVENUE,3393,14,3033930014,1.65,2.43,0.78
1472 JEFFERSON AVENUE,3393,15,3033930015,1.65,2.43,0.78
1476 JEFFERSON AVENUE,3393,16,3033930016,1.65,2.43,0.78
1478 JEFFERSON AVENUE,3393,17,3033930017,1.65,2.43,0.78
1480 JEFFERSON AVENUE,3393,18,3033930018,1.65,2.43,0.78
1482 JEFFERSON AVENUE,3393,19,3033930019,1.65,2.43,0.78
1484 JEFFERSON AVENUE,3393,20,3033930020,1.65,2.43,0.78
1486 JEFFERSON AVENUE,3393,21,3033930021,1.65,2.43,0.78
1488 JEFFERSON AVENUE,3393,30,3033930030,1.65,2.43,0.78
1490 JEFFERSON AVENUE,3393,31,3033930031,1.65,2.43,0.78
1492 JEFFERSON AVENUE,3393,32,3033930032,1.65,2.43,0.78
1494 JEFFERSON AVENUE,3393,33,3033930033,1.65,2.43,0.78
1496 JEFFERSON AVENUE,3393,34,3033930034,1.65,2.43,0.78
1498 JEFFERSON AVENUE,3393,35,3033930035,1.65,2.43,0.78
1504 JEFFERSON AVENUE,3393,7503,3033937503,2.3,2.43,0.13
1508 JEFFERSON AVENUE,3393,39,3033930039,1.25,2.43,1.18
1514 JEFFERSON AVENUE,3393,41,3033930041,2.04,2.43,0.39
1516 JEFFERSON AVENUE,3393,43,3033930043,2.04,2.43,0.39
1518 JEFFERSON AVENUE,3393,45,3033930045,2.04,2.43,0.39
1522 JEFFERSON AVENUE,3393,47,3033930047,2.1,2.43,0.33
1524 JEFFERSON AVENUE,3393,49,3033930049,2.8,2.43,0.0
